iso_code,ano,population
ABW,1850,2720
ABW,1860,3100
ABW,1870,3800
ABW,1880,6200
ABW,1890,7457
ABW,1900,9600
ABW,1910,9420
ABW,1920,8600
ABW,1930,13545
ABW,1940,30399
ABW,1950,42763
ABW,1951,43880
ABW,1952,45052
ABW,1953,46269
ABW,1954,47516
ABW,1955,48786
ABW,1956,50083
ABW,1957,51383
ABW,1958,52686
ABW,1959,54003
ABW,1960,54938
ABW,1961,55596
ABW,1962,56335
ABW,1963,57018
ABW,1964,57637
ABW,1965,58208
ABW,1966,58707
ABW,1967,59011
ABW,1968,59086
ABW,1969,59068
ABW,1970,58967
ABW,1971,58798
ABW,1972,58912
ABW,1973,59456
ABW,1974,60144
ABW,1975,60825
ABW,1976,61292
ABW,1977,61532
ABW,1978,61733
ABW,1979,61913
ABW,1980,62050
ABW,1981,62279
ABW,1982,62675
ABW,1983,63114
ABW,1984,63483
ABW,1985,63673
ABW,1986,64106
ABW,1987,63942
ABW,1988,63788
ABW,1989,64015
ABW,1990,65093
ABW,1991,67222
ABW,1992,69550
ABW,1993,71732
ABW,1994,74103
ABW,1995,76500
ABW,1996,78964
ABW,1997,81496
ABW,1998,84076
ABW,1999,86680
ABW,2000,88944
ABW,2001,90511
ABW,2002,91595
ABW,2003,92518
ABW,2004,93388
ABW,2005,94366
ABW,2006,95512
ABW,2007,96700
ABW,2008,97910
ABW,2009,99132
ABW,2010,100240
ABW,2011,101149
ABW,2012,101950
ABW,2013,102730
ABW,2014,103494
ABW,2015,104234
ABW,2016,104940
ABW,2017,105595
ABW,2018,106214
ABW,2019,106774
ABW,2020,107004
ABW,2021,107054
ABW,2022,107126
ABW,2023,107946
AFG,1750,2802560
AFG,1760,2866255
AFG,1770,2931397
AFG,1780,2998019
AFG,1790,3066156
AFG,1800,3280000
AFG,1801,3280000
AFG,1802,3280000
AFG,1803,3280000
AFG,1804,3280000
AFG,1805,3280000
AFG,1806,3280000
AFG,1807,3280000
AFG,1808,3280000
AFG,1809,3280000
AFG,1810,3280000
AFG,1811,3280000
AFG,1812,3280000
AFG,1813,3280000
AFG,1814,3280000
AFG,1815,3280000
AFG,1816,3280000
AFG,1817,3280000
AFG,1818,3280000
AFG,1819,3282935
AFG,1820,3288817
AFG,1821,3297661
AFG,1822,3309479
AFG,1823,3324285
AFG,1824,3339157
AFG,1825,3354095
AFG,1826,3369101
AFG,1827,3384173
AFG,1828,3399313
AFG,1829,3414520
AFG,1830,3429796
AFG,1831,3445140
AFG,1832,3460553
AFG,1833,3476034
AFG,1834,3491585
AFG,1835,3507205
AFG,1836,3522896
AFG,1837,3538656
AFG,1838,3554487
AFG,1839,3570389
AFG,1840,3586362
AFG,1841,3602406
AFG,1842,3618522
AFG,1843,3634711
AFG,1844,3650971
AFG,1845,3667305
AFG,1846,3683711
AFG,1847,3700191
AFG,1848,3716745
AFG,1849,3734342
AFG,1850,3752993
AFG,1851,3767956
AFG,1852,3783940
AFG,1853,3800954
AFG,1854,3818038
AFG,1855,3835192
AFG,1856,3852417
AFG,1857,3869714
AFG,1858,3887081
AFG,1859,3904521
