iso_code,nome,regiao_code
AFG,Afghanistan,WLD
ALB,Albania,ECA
DZA,Algeria,MNA
AND,Andorra,WLD
AGO,Angola,SSA
AIA,Anguilla,WLD
ATA,Antarctica,WLD
ATG,Antigua and Barbuda,WLD
ARG,Argentina,LAC
ARM,Armenia,ECA
ABW,Aruba,WLD
AUS,Australia,OHI
AUT,Austria,OHI
AZE,Azerbaijan,ECA
BHS,Bahamas,WLD
BHR,Bahrain,WLD
BGD,Bangladesh,SAS
BRB,Barbados,WLD
BLR,Belarus,ECA
BEL,Belgium,OHI
BLZ,Belize,LAC
BEN,Benin,SSA
BMU,Bermuda,WLD
BTN,Bhutan,SAS
BOL,Bolivia,LAC
BES,Bonaire Sint Eustatius and Saba,WLD
BIH,Bosnia and Herzegovina,ECA
BWA,Botswana,SSA
BRA,Brazil,LAC
VGB,British Virgin Islands,WLD
BRN,Brunei,WLD
BGR,Bulgaria,ECA
BFA,Burkina Faso,SSA
BDI,Burundi,SSA
KHM,Cambodia,WLD
CMR,Cameroon,SSA
CAN,Canada,OHI
CPV,Cape Verde,SSA
CAF,Central African Republic,SSA
TCD,Chad,SSA
CHL,Chile,LAC
CHN,China,EAP
CXR,Christmas Island,WLD
COL,Colombia,LAC
COM,Comoros,SSA
COG,Congo,SSA
COK,Cook Islands,WLD
CRI,Costa Rica,LAC
CIV,Cote d'Ivoire,SSA
HRV,Croatia,ECA
CUB,Cuba,WLD
CUW,Curacao,WLD
CYP,Cyprus,OHI
CZE,Czechia,ECA
COD,Democratic Republic of Congo,SSA
DNK,Denmark,OHI
DJI,Djibouti,MNA
DMA,Dominica,WLD
DOM,Dominican Republic,LAC
TLS,East Timor,EAP
ECU,Ecuador,LAC
EGY,Egypt,MNA
SLV,El Salvador,LAC
GNQ,Equatorial Guinea,WLD
ERI,Eritrea,WLD
EST,Estonia,ECA
SWZ,Eswatini,SSA
ETH,Ethiopia,SSA
FRO,Faroe Islands,WLD
FJI,Fiji,EAP
FIN,Finland,OHI
FRA,France,OHI
PYF,French Polynesia,WLD
GAB,Gabon,SSA
GMB,Gambia,SSA
GEO,Georgia,ECA
DEU,Germany,OHI
GHA,Ghana,SSA
GRC,Greece,OHI
GRL,Greenland,WLD
GRD,Grenada,LAC
GTM,Guatemala,LAC
GIN,Guinea,SSA
