iso_code,fonte_energia_id,ano,producao,geracao,consumo
ARG,1,2010,,1.38,5.923
ARG,1,2011,,1.39,8.673
ARG,1,2012,,1.45,10.397
ARG,1,2013,,1.53,11.902
ARG,1,2014,,1.48,13.891
ARG,1,2015,,1.49,15.131
ARG,1,2016,,1.18,16.037
ARG,1,2017,,1.46,18.428
ARG,1,2018,,1.42,17.594
ARG,1,2019,,1.48,17.97
ARG,1,2020,,2.2,9.646
ARG,1,2021,,2.25,10.42
ARG,1,2022,,2.34,14.0
ARG,1,2023,,2.33,12.773
AUS,1,1990,,,0.0
AUS,1,1991,,,0.0
AUS,1,1992,,,0.0
AUS,1,1993,,,0.0
AUS,1,1994,,,0.0
AUS,1,1995,,,0.0
AUS,1,1996,,,0.0
AUS,1,1997,,,0.0
AUS,1,1998,,,0.0
AUS,1,1999,,,0.0
AUS,1,2000,,0.89,0.0
AUS,1,2001,,0.8,0.0
AUS,1,2002,,1.27,0.0
AUS,1,2003,,1.69,0.0
AUS,1,2004,,2.82,0.0
AUS,1,2005,,3.87,0.234
AUS,1,2006,,3.93,0.759
AUS,1,2007,,4.28,0.966
AUS,1,2008,,3.7,1.279
AUS,1,2009,,2.79,1.773
AUS,1,2010,,2.44,2.577
AUS,1,2011,,2.57,3.068
AUS,1,2012,,3.1,2.982
AUS,1,2013,,3.33,2.921
AUS,1,2014,,3.55,3.003
AUS,1,2015,,3.68,2.387
AUS,1,2016,,3.63,1.856
AUS,1,2017,,3.56,1.834
AUS,1,2018,,3.59,1.655
AUS,1,2019,,3.47,1.514
AUS,1,2020,,3.41,1.203
AUS,1,2021,,3.34,1.239
AUS,1,2022,,3.25,1.35
AUS,1,2023,,3.36,1.293
AUT,1,1990,,1.13,0.0
AUT,1,1991,,1.21,0.0
AUT,1,1992,,1.31,0.0
AUT,1,1993,,1.34,0.0
AUT,1,1994,,1.19,0.0
AUT,1,1995,,1.84,0.0
AUT,1,1996,,1.57,0.0
AUT,1,1997,,1.69,0.0
AUT,1,1998,,1.82,0.0
AUT,1,1999,,1.6,0.0
AUT,1,2000,,1.53,0.0
AUT,1,2001,,1.67,0.0
AUT,1,2002,,1.52,0.0
AUT,1,2003,,1.65,0.0
AUT,1,2004,,1.91,0.0
AUT,1,2005,,2.43,0.722
AUT,1,2006,,3.23,2.893
AUT,1,2007,,4.06,3.444
AUT,1,2008,,4.16,3.866
AUT,1,2009,,4.28,4.914
AUT,1,2010,,4.48,5.188
AUT,1,2011,,4.56,5.106
AUT,1,2012,,4.68,5.319
AUT,1,2013,,4.7,5.218
AUT,1,2014,,4.55,5.157
AUT,1,2015,,4.65,5.353
AUT,1,2016,,4.78,5.366
AUT,1,2017,,4.92,5.352
AUT,1,2018,,4.93,5.171
AUT,1,2019,,4.66,5.167
AUT,1,2020,,4.59,4.622
AUT,1,2021,,4.48,4.847
AUT,1,2022,,4.69,4.605
AUT,1,2023,,3.57,4.455
BLR,1,1995,,,0.0
BLR,1,1996,,,0.0
BLR,1,1997,,,0.0
BLR,1,1998,,,0.0
BLR,1,1999,,,0.0
BLR,1,2000,,0.0,0.0
BLR,1,2001,,0.0,0.0
BLR,1,2002,,0.0,0.0
BLR,1,2003,,0.0,0.0
BLR,1,2004,,0.0,0.0
BLR,1,2005,,0.0,0.0
BLR,1,2006,,0.0,0.0
BLR,1,2007,,0.01,0.0
BLR,1,2008,,0.03,0.082
BLR,1,2009,,0.07,0.236
BLR,1,2010,,0.09,0.391
BLR,1,2011,,0.1,0.319
BLR,1,2012,,0.13,0.339
BLR,1,2013,,0.15,0.267
BLR,1,2014,,0.16,0.288
BLR,1,2015,,0.19,0.226
BLR,1,2016,,0.18,0.206
BLR,1,2017,,0.19,0.206
BLR,1,2018,,0.21,0.144
BLR,1,2019,,0.34,0.164
BLR,1,2020,,0.59,0.0
BLR,1,2021,,0.58,0.0
BLR,1,2022,,0.56,0.0
BLR,1,2023,,,0.0
BEL,1,1990,,0.28,0.0
BEL,1,1991,,0.3,0.0
BEL,1,1992,,0.27,0.0
BEL,1,1993,,0.25,0.0
BEL,1,1994,,0.25,0.0
BEL,1,1995,,0.32,0.0
BEL,1,1996,,0.31,0.0
BEL,1,1997,,0.28,0.0
BEL,1,1998,,0.36,0.0
BEL,1,1999,,0.5,0.0
BEL,1,2000,,0.57,0.0
BEL,1,2001,,0.6,0.0
BEL,1,2002,,0.72,0.0
BEL,1,2003,,0.86,0.0
BEL,1,2004,,1.04,0.0
BEL,1,2005,,1.59,0.0
BEL,1,2006,,2.23,0.0
BEL,1,2007,,2.6,0.0
BEL,1,2008,,3.33,0.0
BEL,1,2009,,3.95,1.525
BEL,1,2010,,4.38,4.137
BEL,1,2011,,4.63,4.091
BEL,1,2012,,5.24,4.041
BEL,1,2013,,5.03,3.998
BEL,1,2014,,4.41,4.801
BEL,1,2015,,5.5,3.0
BEL,1,2016,,5.36,5.053
BEL,1,2017,,5.7,5.454
BEL,1,2018,,5.41,5.402
BEL,1,2019,,5.16,5.42
BEL,1,2020,,5.26,7.523
BEL,1,2021,,4.69,8.307
BEL,1,2022,,4.94,8.617
BEL,1,2023,,3.93,8.546
BRA,1,1970,,,3.605
BRA,1,1971,,,3.49
BRA,1,1972,,,4.304
BRA,1,1973,,,3.583
BRA,1,1974,,,3.347
BRA,1,1975,,,3.214
BRA,1,1976,,,2.949
BRA,1,1977,,,6.43
BRA,1,1978,,,11.558
BRA,1,1979,,,15.896
BRA,1,1980,,,19.461
BRA,1,1981,,,17.818
BRA,1,1982,,,24.806
BRA,1,1983,,,35.638
BRA,1,1984,,,44.14
BRA,1,1985,,,54.092
BRA,1,1986,,,69.462
BRA,1,1987,,,70.325
BRA,1,1988,,,74.058
BRA,1,1989,,,80.062
BRA,1,1990,,,73.802
BRA,1,1991,,,75.068
BRA,1,1992,,,73.601
BRA,1,1993,,,77.747
BRA,1,1994,,,83.522
BRA,1,1995,,,87.004
BRA,1,1996,,,89.891
BRA,1,1997,,,86.482
BRA,1,1998,,,85.937
BRA,1,1999,,,86.176
BRA,1,2000,,7.86,75.091
BRA,1,2001,,9.02,70.39
BRA,1,2002,,10.27,76.281
