iso_code,ano,gas_id,trade_co2,consumption_co2
ALB,1990,1,0.036,5.556
ALB,1991,1,0.324,4.614
ALB,1992,1,0.399,2.916
ALB,1993,1,0.335,2.673
ALB,1994,1,0.449,2.373
ALB,1995,1,0.457,2.547
ALB,1996,1,1.009,3.026
ALB,1997,1,0.684,2.227
ALB,1998,1,0.782,2.537
ALB,1999,1,0.803,3.789
ALB,2000,1,1.055,4.08
ALB,2001,1,1.269,4.489
ALB,2002,1,1.375,5.123
ALB,2003,1,1.627,5.931
ALB,2004,1,1.351,5.528
ALB,2005,1,1.571,5.833
ALB,2006,1,1.831,5.742
ALB,2007,1,2.037,5.986
ALB,2008,1,2.152,6.549
ALB,2009,1,2.509,6.916
ALB,2010,1,1.831,6.615
ALB,2011,1,1.827,7.141
ALB,2012,1,1.993,6.843
ALB,2013,1,1.289,6.577
ALB,2014,1,0.511,6.511
ALB,2015,1,1.201,5.914
ALB,2016,1,1.191,5.823
ALB,2017,1,0.663,5.956
ALB,2018,1,1.048,5.943
ALB,2019,1,1.006,5.833
ALB,2020,1,1.058,5.769
ALB,2021,1,0.984,6.118
ALB,2022,1,0.841,6.014
ARG,1990,1,0.836,112.985
ARG,1991,1,3.65,121.405
ARG,1992,1,7.088,128.623
ARG,1993,1,5.939,123.941
ARG,1994,1,5.672,124.142
ARG,1995,1,3.097,128.374
ARG,1996,1,3.167,134.316
ARG,1997,1,7.072,143.625
ARG,1998,1,8.384,147.704
ARG,1999,1,1.531,149.835
ARG,2000,1,-1.391,142.078
ARG,2001,1,-4.561,130.576
ARG,2002,1,-42.745,82.186
ARG,2003,1,-21.775,112.706
ARG,2004,1,-23.691,133.358
ARG,2005,1,-20.876,140.712
ARG,2006,1,-23.355,150.954
ARG,2007,1,-17.465,156.116
ARG,2008,1,-14.568,172.774
ARG,2009,1,-20.492,157.688
ARG,2010,1,-14.109,171.837
ARG,2011,1,-0.003,189.772
ARG,2012,1,-1.605,189.757
ARG,2013,1,8.882,198.42
ARG,2014,1,-3.213,185.183
ARG,2015,1,8.151,199.895
ARG,2016,1,-2.734,187.187
