iso_code,ano,total_ghg,total_ghg_excluding_lucf
AFG,1850,7.436,0.629
AFG,1851,7.5,0.633
AFG,1852,7.56,0.637
AFG,1853,7.62,0.641
AFG,1854,7.678,0.644
AFG,1855,7.735,0.648
AFG,1856,7.79,0.652
AFG,1857,7.845,0.656
AFG,1858,7.899,0.66
AFG,1859,7.95,0.663
AFG,1860,8.013,0.667
AFG,1861,8.07,0.671
AFG,1862,8.122,0.675
AFG,1863,8.172,0.679
AFG,1864,8.222,0.683
AFG,1865,8.27,0.687
AFG,1866,8.317,0.691
AFG,1867,8.364,0.695
AFG,1868,8.41,0.699
AFG,1869,8.456,0.703
AFG,1870,8.709,0.712
AFG,1871,8.901,0.717
AFG,1872,9.052,0.723
AFG,1873,9.18,0.728
AFG,1874,9.301,0.734
AFG,1875,9.417,0.739
AFG,1876,9.527,0.745
AFG,1877,9.633,0.75
AFG,1878,9.733,0.756
AFG,1879,9.825,0.761
AFG,1880,10.078,0.766
AFG,1881,10.285,0.773
AFG,1882,10.445,0.779
AFG,1883,10.583,0.786
AFG,1884,10.71,0.792
AFG,1885,10.824,0.799
AFG,1886,10.931,0.805
AFG,1887,11.035,0.812
AFG,1888,11.135,0.818
AFG,1889,11.231,0.824
AFG,1890,11.401,0.831
AFG,1891,11.525,0.838
AFG,1892,11.631,0.845
AFG,1893,11.731,0.852
AFG,1894,11.827,0.859
AFG,1895,11.914,0.866
AFG,1896,11.999,0.873
AFG,1897,12.083,0.88
AFG,1898,12.165,0.887
AFG,1899,12.246,0.894
AFG,1900,12.367,0.901
AFG,1901,12.477,0.909
AFG,1902,12.568,0.917
AFG,1903,12.614,0.925
AFG,1904,12.709,0.933
AFG,1905,12.919,0.941
AFG,1906,13.126,0.949
AFG,1907,13.253,0.957
AFG,1908,13.397,0.965
AFG,1909,13.518,0.973
AFG,1910,13.733,0.981
AFG,1911,13.844,0.98
AFG,1912,13.935,0.979
AFG,1913,13.974,0.977
AFG,1914,14.043,0.976
AFG,1915,14.07,0.975
AFG,1916,14.017,0.973
AFG,1917,14.042,0.972
AFG,1918,14.042,0.971
AFG,1919,14.055,0.97
AFG,1920,13.858,0.968
AFG,1921,13.908,0.978
AFG,1922,13.99,0.988
AFG,1923,14.022,0.998
AFG,1924,14.127,1.008
AFG,1925,14.197,1.019
AFG,1926,14.292,1.029
AFG,1927,14.382,1.039
AFG,1928,14.464,1.049
AFG,1929,14.603,1.06
AFG,1930,14.601,1.07
AFG,1931,14.714,1.081
AFG,1932,14.807,1.093
AFG,1933,14.936,1.105
AFG,1934,15.019,1.116
AFG,1935,15.151,1.128
AFG,1936,15.332,1.14
AFG,1937,15.465,1.151
AFG,1938,15.669,1.163
AFG,1939,15.842,1.175
AFG,1940,16.026,1.186
AFG,1941,16.267,1.203
AFG,1942,16.465,1.22
AFG,1943,16.697,1.237
AFG,1944,17.033,1.255
AFG,1945,17.322,1.266
AFG,1946,17.684,1.278
AFG,1947,18.081,1.252
AFG,1948,18.18,1.263
AFG,1949,18.288,1.297
AFG,1950,19.447,1.453
AFG,1951,20.458,1.473
AFG,1952,21.356,1.484
AFG,1953,22.361,1.517
AFG,1954,23.256,1.534
AFG,1955,24.423,1.633
AFG,1956,25.502,1.712
AFG,1957,26.746,1.956
AFG,1958,28.019,2.044
AFG,1959,29.052,2.149
AFG,1960,28.796,2.225
AFG,1961,26.207,2.37
AFG,1962,25.671,2.722
AFG,1963,25.747,2.79
AFG,1964,24.625,3.065
AFG,1965,25.37,3.372
AFG,1966,25.136,3.544
AFG,1967,24.593,4.055
AFG,1968,24.491,4.049
AFG,1969,23.202,3.417
AFG,1970,24.12,4.255
