iso_code,ano,gdp
AFG,1950,9421400064.0
AFG,1951,9692279808.0
AFG,1952,10017325056.0
AFG,1953,10630519808.0
AFG,1954,10866360320.0
AFG,1955,11078185984.0
AFG,1956,11581236224.0
AFG,1957,11578973184.0
AFG,1958,12238841856.0
AFG,1959,12579874816.0
AFG,1960,13033253888.0
AFG,1961,13146287104.0
AFG,1962,13367633920.0
AFG,1963,13630298112.0
AFG,1964,13870503936.0
AFG,1965,14187419648.0
AFG,1966,14325264384.0
AFG,1967,14734025728.0
AFG,1968,15254250496.0
AFG,1969,15493193728.0
AFG,1970,15812232192.0
AFG,1971,15770513408.0
AFG,1972,13170552832.0
AFG,1973,13568630784.0
AFG,1974,14309107712.0
AFG,1975,15177767936.0
AFG,1976,16023605248.0
AFG,1977,15207360512.0
AFG,1978,16337829888.0
AFG,1979,15913788416.0
AFG,1980,15329836032.0
AFG,1981,15645343744.0
AFG,1982,15980409856.0
AFG,1983,16755333120.0
AFG,1984,17072152576.0
AFG,1985,17108480000.0
AFG,1986,17641345024.0
AFG,1987,15810816000.0
AFG,1988,14499068928.0
AFG,1989,13489497088.0
AFG,1990,13065984000.0
AFG,1991,12047362048.0
AFG,1992,12677539840.0
AFG,1993,9834582016.0
AFG,1994,7919856640.0
AFG,1995,12307525632.0
AFG,1996,12070125568.0
AFG,1997,11850753024.0
AFG,1998,11692171264.0
AFG,1999,11517316096.0
AFG,2000,11283793920.0
AFG,2001,11021273088.0
AFG,2002,18804871168.0
AFG,2003,21074343936.0
AFG,2004,22332569600.0
AFG,2005,25397686272.0
AFG,2006,28704399360.0
AFG,2007,34507530240.0
AFG,2008,36561043456.0
AFG,2009,44358721536.0
AFG,2010,47399424000.0
AFG,2011,53326336000.0
AFG,2012,59166900224.0
AFG,2013,62993698816.0
AFG,2014,64346107904.0
AFG,2015,62783393792.0
AFG,2016,64372215808.0
AFG,2017,65169281024.0
AFG,2018,65996738560.0
AFG,2019,73085706240.0
AFG,2020,71417708544.0
AFG,2021,56638849024.0
AFG,2022,53303472128.0
ALB,1870,428732992.0
ALB,1890,691878016.0
ALB,1900,873600000.0
ALB,1910,1086381952.0
ALB,1913,1161113984.0
ALB,1929,1442051968.0
ALB,1950,1958540928.0
ALB,1951,2089362304.0
ALB,1952,2138255872.0
ALB,1953,2282159616.0
ALB,1954,2415072768.0
