iso_code,regiao_code,nome
AFG,WLD,Afghanistan
ALB,ECA,Albania
DZA,MNA,Algeria
AND,WLD,Andorra
AGO,SSA,Angola
AIA,WLD,Anguilla
ATA,WLD,Antarctica
ATG,WLD,Antigua and Barbuda
ARG,LAC,Argentina
ARM,ECA,Armenia
ABW,WLD,Aruba
AUS,OHI,Australia
AUT,OHI,Austria
AZE,ECA,Azerbaijan
BHS,WLD,Bahamas
BHR,WLD,Bahrain
BGD,SAS,Bangladesh
BRB,WLD,Barbados
BLR,ECA,Belarus
BEL,OHI,Belgium
BLZ,LAC,Belize
BEN,SSA,Benin
BMU,WLD,Bermuda
BTN,SAS,Bhutan
BOL,LAC,Bolivia
BES,WLD,Bonaire Sint Eustatius and Saba
BIH,ECA,Bosnia and Herzegovina
BWA,SSA,Botswana
BRA,LAC,Brazil
VGB,WLD,British Virgin Islands
BRN,WLD,Brunei
BGR,ECA,Bulgaria
BFA,SSA,Burkina Faso
BDI,SSA,Burundi
KHM,WLD,Cambodia
CMR,SSA,Cameroon
CAN,OHI,Canada
CPV,SSA,Cape Verde
CAF,SSA,Central African Republic
TCD,SSA,Chad
CHL,LAC,Chile
CHN,EAP,China
CXR,WLD,Christmas Island
COL,LAC,Colombia
COM,SSA,Comoros
COG,SSA,Congo
COK,WLD,Cook Islands
CRI,LAC,Costa Rica
CIV,SSA,Cote d'Ivoire
HRV,ECA,Croatia
CUB,WLD,Cuba
CUW,WLD,Curacao
CYP,OHI,Cyprus
CZE,ECA,Czechia
COD,SSA,Democratic Republic of Congo
DNK,OHI,Denmark
DJI,MNA,Djibouti
DMA,WLD,Dominica
DOM,LAC,Dominican Republic
TLS,EAP,East Timor
ECU,LAC,Ecuador
EGY,MNA,Egypt
SLV,LAC,El Salvador
GNQ,WLD,Equatorial Guinea
ERI,WLD,Eritrea
EST,ECA,Estonia
SWZ,SSA,Eswatini
ETH,SSA,Ethiopia
FRO,WLD,Faroe Islands
FJI,EAP,Fiji
FIN,OHI,Finland
FRA,OHI,France
PYF,WLD,French Polynesia
GAB,SSA,Gabon
GMB,SSA,Gambia
GEO,ECA,Georgia
DEU,OHI,Germany
GHA,SSA,Ghana
GRC,OHI,Greece
GRL,WLD,Greenland
GRD,LAC,Grenada
GTM,LAC,Guatemala
GIN,SSA,Guinea
GNB,SSA,Guinea-Bissau
GUY,LAC,Guyana
HTI,LAC,Haiti
HND,LAC,Honduras
HKG,WLD,Hong Kong
HUN,ECA,Hungary
ISL,OHI,Iceland
